,ind1,ind2
353,557,733
354,559,"5,330"
355,561,143
356,562,"1,139"
357,563,"2,705"
358,564,"1,015"
359,565,956
360,567,"2,869"
361,568,951
362,571,"1,688"
363,575,529
364,576,890
365,578,"3,505"
366,581,"3,339"
367,582,"3,484"
368,583,"2,599"
369,584,"2,518"
370,586,"3,075"
371,587,"1,127"
372,589,"1,466"
373,591,"1,671"
374,592,"1,976"
375,593,"1,020"
376,594,"1,365"
377,595,"4,180"
378,596,861
379,597,454
380,598,660
381,601,"1,272"
382,602,"5,338"
383,603,"4,723"
384,606,"5,356"
385,607,41
386,609,"3,125"
387,612,"2,163"
388,614,"2,160"
389,615,258
390,616,"1,710"
391,617,"2,590"
392,620,"1,735"
393,621,"2,183"
394,622,"2,865"
395,623,"1,995"
396,627,"1,459"
397,628,228
398,629,"2,936"
399,631,"1,097"
400,633,"4,719"
401,634,"2,878"
402,635,"2,351"
403,637,880
404,638,812
405,641,"1,299"
406,642,"1,004"
407,643,"2,923"
408,644,"1,227"
409,645,306
410,646,"4,589"
411,647,"3,839"
412,648,"2,172"
413,649,807
414,650,"1,478"
415,654,615
416,656,"5,399"
417,657,275
418,659,"4,533"
419,660,843
420,661,"1,938"
421,663,361
422,664,450
423,665,451
424,666,"1,412"
425,667,"2,331"
426,671,"4,715"
427,672,"3,185"
428,673,"3,459"
429,674,"2,077"
430,675,"5,152"
431,676,"4,563"
432,677,"1,666"
433,679,"3,625"
434,680,"1,725"
435,681,"3,169"
436,682,"1,718"
437,683,905
438,684,"1,113"
439,688,607
440,691,"3,363"
441,692,"4,885"
442,694,"6,070"
443,695,883
444,696,"5,513"
445,697,364
446,700,"2,876"
447,702,"1,650"
448,703,174
449,704,810
450,705,"1,733"
451,707,"1,392"
452,708,543
453,710,263
454,711,"4,500"
455,712,463
456,713,36
457,714,"2,437"
458,719,"1,952"
459,720,612
460,722,"2,667"
461,726,379
462,728,"1,754"
463,730,567
464,731,194
465,732,496
466,733,"1,155"
467,734,701
468,735,"2,688"
469,736,"4,566"
470,737,"3,052"
471,743,"3,754"
472,745,"3,246"
473,746,"2,110"
474,747,73
475,750,"1,291"
476,751,"3,036"
477,753,"3,780"
478,754,793
479,755,"5,792"
480,760,"1,568"
481,762,775
482,763,"3,927"
483,764,"2,021"
484,771,"5,283"
485,773,628
486,775,"1,195"
487,777,"1,636"
488,778,"2,267"
489,779,"2,270"
490,780,"1,395"
491,781,"2,441"
492,782,311
493,783,"2,911"
494,784,"2,613"
495,785,517
496,786,341
497,787,"3,792"
498,789,"4,696"
499,790,"4,644"
500,791,"4,315"
501,793,"2,642"
502,794,"1,539"
503,795,"1,274"
504,796,"1,017"
505,797,"1,575"
506,798,"1,261"
507,800,926
508,802,346
509,805,"1,511"
510,806,166
511,808,"2,897"
512,811,"3,416"
513,812,"3,611"
514,816,"3,626"
515,817,"5,997"
516,818,"1,750"
517,819,"4,189"
518,820,"2,208"
519,822,28
520,823,"2,469"
521,824,385
522,828,"2,431"
523,830,632
524,833,511
525,834,"1,486"
526,835,"3,305"
527,838,966
528,839,"3,176"
529,844,292
530,846,"1,432"
531,848,377
532,849,"4,047"
533,850,"2,341"
534,853,"1,756"
535,855,"3,547"
536,856,"2,912"
537,860,"1,855"
538,865,"1,406"
539,866,"1,679"
540,868,"3,073"
541,869,"1,184"
542,870,"5,348"
543,872,"5,437"
544,873,"1,734"
545,875,243
546,876,"1,350"
547,878,216
548,879,455
549,882,"1,126"
550,883,667
551,884,"2,940"
552,888,"1,062"
553,889,"3,419"
554,890,"3,058"
555,892,"2,344"
556,893,729
557,894,"1,632"
558,895,"1,695"
559,896,465
560,897,"3,770"
561,901,"2,955"
562,903,"3,386"
563,904,"1,701"
564,905,805
565,906,"5,427"
566,907,"2,289"
567,908,"1,317"
568,909,"2,254"
569,910,549
570,911,"3,129"
571,913,"1,450"
572,914,"1,925"
573,916,461
574,917,"1,070"
575,918,"3,038"
576,919,"2,381"
577,920,"3,428"
578,921,"5,504"
579,924,"5,428"
580,926,"2,206"
581,928,"4,299"
582,930,"2,324"
583,931,"2,666"
584,932,466
585,934,"2,841"
586,935,"1,793"
587,937,"1,123"
588,938,149
589,939,"1,970"
590,940,"2,986"
591,941,759
592,942,723
593,943,"2,594"
594,945,"2,554"
595,950,"1,426"
596,952,738
597,953,"4,642"
598,954,"3,119"
599,957,"3,001"
600,958,"3,738"
601,959,"1,680"
602,960,130
603,963,"1,286"
604,964,699
605,966,581
606,967,"1,865"
607,970,689
608,973,317
609,974,710
610,975,235
611,976,"3,719"
612,978,"3,491"
613,979,"1,293"
614,980,"1,619"
615,981,946
616,982,"1,702"
617,983,"3,616"
618,984,324
619,985,"1,853"
620,986,323
621,987,"2,459"
622,988,4
623,989,322
624,991,412
625,994,"1,143"
626,996,"3,532"
627,997,"5,142"
628,998,"2,114"
629,1005,"4,538"
630,1006,"1,133"
631,1007,"2,970"
632,1010,616
633,1011,"2,193"
634,1013,"4,570"
635,1015,"5,904"
636,1016,604
637,1017,"2,787"
638,1018,"1,173"
639,1019,"4,645"
640,1023,"1,457"
641,1027,"1,124"
642,1028,"4,307"
643,1029,383
644,1030,67
645,1031,"2,571"
646,1033,"3,164"
647,1034,"2,499"
648,1035,"3,013"
649,1038,622
650,1040,"1,709"
651,1041,184
652,1042,92
653,1043,"1,267"
654,1045,"3,124"
655,1046,504
656,1047,"1,083"
657,1051,610
658,1052,"1,330"
659,1054,"2,568"
660,1055,45
661,1056,"1,721"
662,1058,"2,274"
663,1059,342
664,1060,"3,122"
665,1061,814
666,1063,"1,907"
667,1064,"1,260"
668,1065,"1,314"
669,1066,"4,913"
670,1068,"3,771"
671,1071,64
672,1072,477
673,1073,"1,693"
674,1074,390
675,1075,"3,463"
676,1076,885
677,1077,"1,652"
678,1078,"1,122"
679,1080,"3,128"
680,1081,"2,690"
681,1083,"1,617"
682,1085,706
683,1086,"4,087"
684,1087,"1,474"
685,1088,111
686,1089,"2,258"
687,1090,"4,337"
688,1091,"1,158"
689,1092,485
690,1093,739
691,1094,"3,050"
692,1095,"3,798"
693,1096,721
694,1097,"2,014"
695,1098,"4,740"
696,1099,"3,154"
697,1100,"3,627"
698,1101,"1,018"
699,1102,"3,037"
700,1103,756
701,1104,96
702,1105,666
703,1106,165
704,1107,744
705,1112,"1,624"
706,1113,"2,480"
707,1114,"2,147"
708,1115,470
709,1116,"3,151"
710,1122,"1,642"
711,1123,"1,797"
712,1127,882
713,1128,"2,673"
714,1130,117
715,1132,"4,546"
716,1135,"3,496"
717,1138,"1,778"
718,1139,169
719,1141,244
720,1142,"4,333"
721,1143,803
722,1144,665
723,1145,186
724,1146,730
725,1147,944
726,1148,"1,141"
727,1149,"5,431"
728,1150,815
729,1151,"2,924"
730,1152,"1,105"
731,1154,171
