,Title,IMSDB-Genres,Writers,Movie-Title,IMDB-ID,Filename,BOM-url,Distributor,OW-Revenue,OW-Opens,Release-Date,Days-in-Release,MPAA,Runtime,Genres,Widest-Release,Domestic-Total,WorldWide-Total,Budget
2,12 and Holding,['Drama'],['Anthony Cipriano'],12_and_Holding,417385,./data/IMSDB/texts/12_and_Holding.txt,https://www.boxofficemojo.com/release/rl309757441,IFC Films,"11,456",3,"May 19, 2006",227 days,R,95.0,['Drama'],15,"96,464","119,195",
6,15 Minutes,"['Action', 'Crime', 'Thriller']",['John Hertzfield'],15_Minutes,179626,./data/IMSDB/texts/15_Minutes.txt,,,,,,,,,,,,,
8,187,['Drama'],['Scott Yagemann'],187,118531,./data/IMSDB/texts/187.txt,https://www.boxofficemojo.com/release/rl54625793,Warner Bros.,"2,222,984","1,121","Jul 30, 1997",155 days,R,119.0,"['Drama', 'Thriller']","1,121","5,727,130","5,727,130",
15,44 Inch Chest,"['Crime', 'Drama']","['Louis Mellis', 'David Scinto']",44_Inch_Chest,914837,./data/IMSDB/texts/44_Inch_Chest.txt,,,,,,,,,,,,,
16,48 Hrs.,"['Action', 'Comedy', 'Thriller']","['Steven E. De Souza', 'Walter Hill', 'Roger Spottiswoode', 'Larry Gross', 'Jeb Stuart']",48_Hrs,83511,./data/IMSDB/texts/48_Hrs.txt,https://www.boxofficemojo.com/release/rl4030825985,Paramount Pictures,"4,369,868",850,"Dec 10, 1982",387 days,,96.0,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']","1,050","78,868,508","78,868,508",
17,50-50,"['Comedy', 'Drama']",['Will Reiser'],50-50,483971,./data/IMSDB/texts/50-50.txt,,,,,,,,,,,,,
23,A Prayer Before Dawn,"['Crime', 'Drama']",['Jonathan Hirschbein'],A_Prayer_Before_Dawn,4080956,./data/IMSDB/texts/A_Prayer_Before_Dawn.txt,https://www.boxofficemojo.com/release/rl1543865857,A24,"14,453",13,"Aug 10, 2018",144 days,R,116.0,"['Action', 'Biography', 'Crime', 'Drama', 'Sport']",13,"14,453","958,883",
27,Above the Law,['Action'],"['Steven Pressfield', 'Ronald Shusett', 'Andrew Davis', 'Steven Seagal']",Above_the_Law,94602,./data/IMSDB/texts/Above_the_Law.txt,https://www.boxofficemojo.com/release/rl306218497,Warner Bros.,"2,037,938",350,"(Wide)Apr 8, 1988",268 days,,99.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",868,"18,869,631","18,869,631",
33,"Adventures of Buckaroo Banzai Across the Eighth Dimension, The","['Adventure', 'Comedy', 'Romance', 'Sci-Fi']",['Earl Mac Rauch'],Adventures_of_Buckaroo_Banzai_Across_the_Eighth_Dimension,86856,./data/IMSDB/texts/Adventures_of_Buckaroo_Banzai_Across_the_Eighth_Dimension.txt,https://www.boxofficemojo.com/release/rl2856945153,Twentieth Century Fox,"620,279",236,"Aug 10, 1984",147 days,,103.0,"['Adventure', 'Comedy', 'Romance', 'Sci-Fi']",236,"6,254,148","6,254,148",
35,After School Special,['Comedy'],['David H. Steinberg'],After_School_Special,302297,./data/IMSDB/texts/After_School_Special.txt,https://www.boxofficemojo.com/release/rl4282746369,Sony Pictures Entertainment (SPE),"15,766",20,"Oct 21, 2005",72 days,R,90.0,['Comedy'],20,"26,511","83,439",
37,Agnes of God,"['Drama', 'Mystery']",['John Pielmeier'],Agnes_of_God,88683,./data/IMSDB/texts/Agnes_of_God.txt,https://www.boxofficemojo.com/release/rl2621474305,Columbia Pictures,"221,552",8,"(Wide)Sep 13, 1985",112 days,,98.0,"['Drama', 'Mystery']",646,"25,627,836","25,627,836",
38,Airplane,"['Comedy', 'Romance']","['Jim Abrahams', ' David Zucker', 'Jerry Zucker']",Airplane,80339,./data/IMSDB/texts/Airplane.txt,,,,,,,,,,,,,
39,Airplane 2: The Sequel,"['Comedy', 'Sci-Fi']",['Ken Finkleman'],Airplane_2:_The_Sequel,83530,./data/IMSDB/texts/Airplane_2:_The_Sequel.txt,https://www.boxofficemojo.com/release/rl2252375553,Paramount Pictures,"5,329,208","1,150","Dec 10, 1982",387 days,,85.0,"['Comedy', 'Sci-Fi']","1,300","27,150,534","27,150,534",
44,Alien Nation,"['Crime', 'Drama', 'Sci-Fi']","[""Rockne O'Bannon"", 'James Cameron']",Alien_Nation,94631,./data/IMSDB/texts/Alien_Nation.txt,https://www.boxofficemojo.com/release/rl3275785729,Twentieth Century Fox,"8,421,429","1,430","Oct 7, 1988",91 days,,91.0,"['Action', 'Sci-Fi']","1,436","25,216,243","32,155,047",
48,All About Eve,['Drama'],['Joseph Mankiewicz'],All_About_Eve,42192,./data/IMSDB/texts/All_About_Eve.txt,,,,,,,,,,,,,
