,Title,IMSDB-Genres,Writers,Movie-Title,IMDB-ID,Filename,BOM-url,Distributor,OW-Revenue,OW-Opens,Release-Date,Days-in-Release,MPAA,Runtime,Genres,Widest-Release,Domestic-Total,WorldWide-Total,Budget
1058,Tombstone,"['Action', 'Drama', 'Western']",['Kevin Jarre'],Tombstone,108358,./data/IMSDB/texts/Tombstone.txt,https://www.boxofficemojo.com/release/rl863471105,Walt Disney Studios Motion Pictures,"6,454,752","1,504",24-Dec-93,373 days,R,130,"['Action', 'Biography', 'Drama', 'History', 'Western']","1,955","56,505,065","56,505,065","25,000,000"
1059,Tomorrow Never Dies,"['Action', 'Adventure', 'Thriller']","['Bruce Feirstein', 'Ian Fleming']",Tomorrow_Never_Dies,120347,./data/IMSDB/texts/Tomorrow_Never_Dies.txt,https://www.boxofficemojo.com/release/rl3597960705,Metro-Goldwyn-Mayer (MGM),"25,143,007","2,807",19-Dec-97,378 days,PG-13,119,"['Action', 'Adventure', 'Thriller']","2,807","125,304,276","333,011,068","110,000,000"
1060,Top Gun,"['Action', 'Drama']",['Chip Proser'],Top_Gun,92099,./data/IMSDB/texts/Top_Gun.txt,https://www.boxofficemojo.com/release/rl444040705,Paramount Pictures,"8,193,052","1,028",16-May-86,231 days,,110,"['Action', 'Drama']","1,531","176,781,728","353,811,728","15,000,000"
1061,Total Recall,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']","['Ronald Shusett', ""Dan O'Bannon"", 'Steven Pressfield']",Total_Recall,100802,./data/IMSDB/texts/Total_Recall.txt,https://www.boxofficemojo.com/release/rl74941953,Sony Pictures Entertainment (SPE),"25,533,700","2,060",1-Jun-90,214 days,,113,"['Action', 'Sci-Fi', 'Thriller']","2,131","119,394,840","261,299,840","65,000,000"
1062,"Tourist, The","['Action', 'Drama', 'Thriller']",['Julian Fellowes'],Tourist,80040,./data/IMSDB/texts/Tourist.txt,,,,,,,,,,,,,"100,000,000"
1063,Toy Story,"['Animation', 'Comedy', 'Family', 'Fantasy']","['Joss Whedon', 'Andrew Stanton', 'Joel Cohen', 'Alec Sokolow']",Toy_Story,114709,./data/IMSDB/texts/Toy_Story.txt,https://www.boxofficemojo.com/release/rl1400342017,Walt Disney Studios Motion Pictures,"29,140,617","2,457",22-Nov-95,406 days,,81,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","2,574","191,796,233","363,007,140","30,000,000"
1064,Traffic,"['Crime', 'Drama', 'Thriller']",['Stephen Gaghan'],Traffic,181865,./data/IMSDB/texts/Traffic.txt,https://www.boxofficemojo.com/release/rl1115129345,USA Films,"184,725",4,"(Wide)Dec 27, 2000",370 days,R,147,"['Crime', 'Drama', 'Thriller']","1,755","124,115,725","207,515,725","48,000,000"
1065,Training Day,"['Action', 'Drama', 'Thriller']",['David Ayer'],Training_Day,139654,./data/IMSDB/texts/Training_Day.txt,https://www.boxofficemojo.com/release/rl1165460993,Warner Bros.,"22,550,788","2,712",5-Oct-01,91 days,R,122,"['Crime', 'Drama', 'Thriller']","2,712","76,631,907","104,876,233","45,000,000"
1066,Trainspotting,['Drama'],"['Irvine Welsh', 'John Hodge']",Trainspotting,117951,./data/IMSDB/texts/Trainspotting.txt,https://www.boxofficemojo.com/release/rl3094840833,Miramax,"262,673",8,19-Jul-96,166 days,R,93,['Drama'],357,"16,491,080","16,491,080","3,100,000"
1067,Transformers: The Movie,"['Action', 'Animation', 'Family', 'Sci-Fi']",['Ron Friedman'],Transformers:_The_Movie,92106,./data/IMSDB/texts/Transformers:_The_Movie.txt,https://www.boxofficemojo.com/release/rl3212281345,De Laurentiis Entertainment Group (DEG),"1,779,559",990,8-Aug-86,146 days,,84,"['Action', 'Adventure', 'Animation', 'Family', 'Sci-Fi']",990,"5,849,647","5,849,647","147,000,000"
1068,Tremors,"['Comedy', 'Horror', 'Sci-Fi']","['S. S. Wilson', 'Brent Maddock']",Tremors,100814,./data/IMSDB/texts/Tremors.txt,https://www.boxofficemojo.com/release/rl2625078785,Universal Pictures,"3,731,520","1,472",19-Jan-90,347 days,,96,"['Comedy', 'Horror']","1,477","16,667,084","16,667,084","10,000,000"
1070,TRON,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","['Steven Lisberger', 'Bonnie MacBird', 'Charlie Haas']",TRON,1104001,./data/IMSDB/texts/TRON.txt,https://www.boxofficemojo.com/release/rl4000810497,Walt Disney Studios Motion Pictures,"44,026,211","3,451",17-Dec-10,380 days,PG,125,"['Action', 'Adventure', 'Sci-Fi']","3,451","172,062,763","400,062,763","170,000,000"
1071,TRON: Legacy,"['Action', 'Adventure', 'Sci-Fi']",['Richard Jefferies'],TRON:_Legacy,1104001,./data/IMSDB/texts/TRON:_Legacy.txt,https://www.boxofficemojo.com/release/rl4000810497,Walt Disney Studios Motion Pictures,"44,026,211","3,451",17-Dec-10,380 days,PG,125,"['Action', 'Adventure', 'Sci-Fi']","3,451","172,062,763","400,062,763","170,000,000"
1072,Tropic Thunder,"['Action', 'Adventure', 'Comedy', 'War']","['Ethan Cohen', 'Ben Stiller', 'Justin Theroux']",Tropic_Thunder,942385,./data/IMSDB/texts/Tropic_Thunder.txt,https://www.boxofficemojo.com/release/rl3782706689,DreamWorks,"25,812,796","3,319",13-Aug-08,142 days,R,107,"['Action', 'Comedy', 'War']","3,473","110,515,313","195,702,811","92,000,000"
1073,True Grit,"['Adventure', 'Drama', 'Western']","['Joel Cohen', 'Ethan Coen', 'Charles Portis']",True_Grit,1403865,./data/IMSDB/texts/True_Grit.txt,https://www.boxofficemojo.com/release/rl3564602881,Paramount Pictures,"24,830,443","3,047",22-Dec-10,375 days,PG-13,110,"['Drama', 'Western']","3,464","171,243,005","252,276,927","38,000,000"
1074,True Lies,"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller']","['Claude Zidi', 'Simon Michaël', 'Didier Kaminka', 'James Cameron']",True_Lies,111503,./data/IMSDB/texts/True_Lies.txt,https://www.boxofficemojo.com/release/rl3614934529,Twentieth Century Fox,"25,869,770","2,368",15-Jul-94,170 days,R,141,"['Action', 'Adventure', 'Comedy', 'Thriller']","2,561","146,282,411","378,882,411","115,000,000"
1075,True Romance,"['Action', 'Crime', 'Romance', 'Thriller']",['Quentin Tarantino'],True_Romance,108399,./data/IMSDB/texts/True_Romance.txt,https://www.boxofficemojo.com/release/rl3380053505,Warner Bros.,"4,023,420","1,254",10-Sep-93,113 days,R,119,"['Crime', 'Drama', 'Romance', 'Thriller']","1,254","12,281,551","13,088,778","12,500,000"
1076,"Truman Show, The","['Comedy', 'Drama', 'Fantasy', 'Sci-Fi']",['Andrew Niccol'],Truman_Show,120382,./data/IMSDB/texts/Truman_Show.txt,https://www.boxofficemojo.com/release/rl3229058561,Paramount Pictures,"31,542,121","2,315",5-Jun-98,210 days,PG,103,"['Comedy', 'Drama', 'Sci-Fi']","2,911","125,618,201","264,118,201","60,000,000"
